RefId,IsBadBuy,VehicleAge,Transmission,WheelTypeID,VehOdo,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,IsOnlineSale,WarrantyCost
10,0,2,AUTO,1,84872,FORD,7845,9752,11734,13656,9167,10988,12580,14845,0,1633
13,1,4,AUTO,1,79315,CHRYSLER,4225,5380,7910,10108,4807,6077,8523,10124,0,1623
26,1,5,AUTO,1,52106,FORD,2619,3561,6502,7274,3160,4376,6600,8074,0,754
32,1,7,AUTO,1,56300,FORD,2989,3939,5731,6751,3062,4156,5622,6773,0,1220
33,0,3,AUTO,2,78241,CHRYSLER,8864,10403,13575,14872,8817,10367,12726,14374,0,1389
35,0,4,AUTO,1,78434,GM,10272,12753,15509,17813,11671,13560,16535,18390,0,1272
36,1,8,AUTO,1,82944,FORD,1805,2423,4318,5562,1840,2640,4407,5530,0,2322
40,1,5,AUTO,0,65078,FORD,7669,8897,11047,13224,7669,8897,11047,13224,0,728
42,1,5,AUTO,0,86889,OTHER,4522,5544,8115,9156,4522,5544,8115,9156,0,594
44,0,2,AUTO,2,80949,GM,7868,9037,11742,13276,9017,10256,12810,14181,0,2152
46,1,6,AUTO,0,72191,OTHER,7033,8356,10916,12432,7033,8356,10916,12432,0,569
48,1,8,AUTO,0,79576,OTHER,2492,3290,5516,7088,2492,3290,5516,7088,0,869
49,1,6,AUTO,1,73291,FORD,3443,4322,7636,9586,2897,3802,6112,7097,0,1155
50,1,4,AUTO,0,50227,GM,6630,7933,10660,12253,6630,7933,10660,12253,0,1003
56,0,4,AUTO,1,50308,CHRYSLER,8219,9414,12742,14018,8881,10454,13601,15016,0,1086
57,0,3,AUTO,1,80795,FORD,8806,10982,12674,15188,9310,11131,12872,14881,0,1633
58,0,4,AUTO,1,62239,CHRYSLER,10883,12166,15586,16956,10883,12166,15340,16512,0,1215
59,1,6,AUTO,1,87008,CHRYSLER,5925,7204,9121,10766,6372,7756,9650,10993,0,1503
64,1,7,AUTO,1,90026,OTHER,8811,10569,12602,15004,8234,9818,12146,13893,0,1209
67,1,5,AUTO,1,75513,GM,10122,11913,13679,15574,9316,10419,13219,14612,0,1974
69,1,9,AUTO,1,95558,FORD,2006,2669,4031,4871,2371,3122,4957,5927,0,1641
72,0,3,AUTO,1,70148,CHRYSLER,9670,10949,14609,16541,10037,11627,14218,15701,0,686
77,1,9,AUTO,1,86483,GM,5498,6393,8910,9822,6614,7649,9808,10913,0,2063
79,0,4,AUTO,1,57338,CHRYSLER,8597,10149,12331,13928,8931,10567,12439,13962,0,588
80,1,7,AUTO,0,59425,FORD,6216,7470,9763,11452,6468,7813,10017,11930,0,1137
89,0,5,AUTO,1,86702,FORD,12004,15664,17400,21702,11520,14974,16133,19975,0,853
