RefId,IsBadBuy,Auction,VehicleAge,Make,Model,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,IsOnlineSale,WarrantyCost
10,0,ADESA,2,FORD,FIVE HUNDRED,AUTO,1,Alloy,84872,AMERICAN,FORD,7845,9752,11734,13656,9167,10988,12580,14845,0,0,21973,33619,FL,0,1633
13,1,ADESA,4,DODGE,CARAVAN GRAND FWD V6,AUTO,1,Alloy,79315,AMERICAN,CHRYSLER,4225,5380,7910,10108,4807,6077,8523,10124,0,0,19638,33619,FL,0,1623
26,1,ADESA,5,MERCURY,SABLE,AUTO,1,Alloy,52106,AMERICAN,FORD,2619,3561,6502,7274,3160,4376,6600,8074,0,0,5546,33619,FL,0,754
32,1,ADESA,7,FORD,EXPLORER 2WD V6,AUTO,1,Alloy,56300,AMERICAN,FORD,2989,3939,5731,6751,3062,4156,5622,6773,0,0,19638,33619,FL,0,1220
33,0,ADESA,3,CHRYSLER,300,AUTO,2,Covers,78241,AMERICAN,CHRYSLER,8864,10403,13575,14872,8817,10367,12726,14374,0,0,19638,33619,FL,0,1389
35,0,ADESA,4,CHEVROLET,AVALANCHE 1500 2WD V,AUTO,1,Alloy,78434,AMERICAN,GM,10272,12753,15509,17813,11671,13560,16535,18390,0,0,19638,33619,FL,0,1272
36,1,ADESA,8,FORD,WINDSTAR FWD V6,AUTO,1,Alloy,82944,AMERICAN,FORD,1805,2423,4318,5562,1840,2640,4407,5530,0,0,19638,33619,FL,0,2322
40,1,ADESA,5,FORD,MUSTANG V6,AUTO,0,0,65078,AMERICAN,FORD,7669,8897,11047,13224,7669,8897,11047,13224,0,0,19638,33619,FL,0,728
42,1,ADESA,5,NISSAN,SENTRA,AUTO,0,0,86889,TOP LINE ASIAN,OTHER,4522,5544,8115,9156,4522,5544,8115,9156,0,0,19638,33619,FL,0,594
44,0,ADESA,2,CHEVROLET,IMPALA V6,AUTO,2,Covers,80949,AMERICAN,GM,7868,9037,11742,13276,9017,10256,12810,14181,0,0,19619,33619,FL,0,2152
46,1,ADESA,6,NISSAN,XTERRA 2WD V6,AUTO,0,0,72191,TOP LINE ASIAN,OTHER,7033,8356,10916,12432,7033,8356,10916,12432,0,0,19619,33619,FL,0,569
48,1,ADESA,8,TOYOTA,COROLLA,AUTO,0,0,79576,TOP LINE ASIAN,OTHER,2492,3290,5516,7088,2492,3290,5516,7088,0,0,19619,33619,FL,0,869
49,1,ADESA,6,FORD,FOCUS,AUTO,1,Alloy,73291,AMERICAN,FORD,3443,4322,7636,9586,2897,3802,6112,7097,0,0,19619,33619,FL,0,1155
50,1,ADESA,4,PONTIAC,G6 V6,AUTO,0,0,50227,AMERICAN,GM,6630,7933,10660,12253,6630,7933,10660,12253,0,0,19619,33619,FL,0,1003
56,0,ADESA,4,DODGE,DURANGO 2WD V8,AUTO,1,Alloy,50308,AMERICAN,CHRYSLER,8219,9414,12742,14018,8881,10454,13601,15016,0,0,20928,33619,FL,0,1086
57,0,ADESA,3,FORD,FIVE HUNDRED,AUTO,1,Alloy,80795,AMERICAN,FORD,8806,10982,12674,15188,9310,11131,12872,14881,0,0,19638,33619,FL,0,1633
58,0,ADESA,4,DODGE,DURANGO 2WD V8,AUTO,1,Alloy,62239,AMERICAN,CHRYSLER,10883,12166,15586,16956,10883,12166,15340,16512,0,0,20928,33619,FL,0,1215
59,1,ADESA,6,CHRYSLER,PACIFICA FWD,AUTO,1,Alloy,87008,AMERICAN,CHRYSLER,5925,7204,9121,10766,6372,7756,9650,10993,0,0,19638,33619,FL,0,1503
64,1,ADESA,7,TOYOTA,4 RUNNER 2WD V8,AUTO,1,Alloy,90026,TOP LINE ASIAN,OTHER,8811,10569,12602,15004,8234,9818,12146,13893,0,0,19638,33619,FL,0,1209
67,1,ADESA,5,PONTIAC,GRAND PRIX,AUTO,1,Alloy,75513,AMERICAN,GM,10122,11913,13679,15574,9316,10419,13219,14612,0,0,20928,33619,FL,0,1974
69,1,ADESA,9,FORD,FOCUS,AUTO,1,Alloy,95558,AMERICAN,FORD,2006,2669,4031,4871,2371,3122,4957,5927,0,0,19638,33619,FL,0,1641
72,0,ADESA,3,JEEP,LIBERTY 2WD V6,AUTO,1,Alloy,70148,AMERICAN,CHRYSLER,9670,10949,14609,16541,10037,11627,14218,15701,0,0,19619,33619,FL,0,686
77,1,ADESA,9,CHEVROLET,TAHOE 2WD,AUTO,1,Alloy,86483,AMERICAN,GM,5498,6393,8910,9822,6614,7649,9808,10913,0,0,19619,33619,FL,0,2063
79,0,ADESA,4,JEEP,LIBERTY 2WD V6,AUTO,1,Alloy,57338,AMERICAN,CHRYSLER,8597,10149,12331,13928,8931,10567,12439,13962,0,0,19619,33619,FL,0,588
80,1,ADESA,7,FORD,EXPEDITION 2WD V8,AUTO,0,0,59425,AMERICAN,FORD,6216,7470,9763,11452,6468,7813,10017,11930,0,0,19619,33619,FL,0,1137
89,0,ADESA,5,FORD,F150 PICKUP 2WD V8,AUTO,1,Alloy,86702,AMERICAN,FORD,12004,15664,17400,21702,11520,14974,16133,19975,0,0,19638,33619,FL,0,853
98,1,ADESA,8,FORD,MUSTANG V6,AUTO,1,Alloy,64822,AMERICAN,FORD,3442,4419,6382,7874,4347,5324,7185,8419,0,0,5546,33619,FL,0,1028
102,0,ADESA,5,DODGE,1500 RAM PICKUP 2WD,AUTO,1,Alloy,56064,AMERICAN,CHRYSLER,9202,11302,13865,15718,9922,12211,14344,16829,0,0,19638,33619,FL,0,754
103,0,ADESA,4,CHRYSLER,300,AUTO,2,Covers,62230,AMERICAN,CHRYSLER,9090,10656,13016,14681,10119,11611,14134,15616,0,0,5546,33619,FL,0,1215
108,0,ADESA,3,DODGE,1500 RAM PICKUP 2WD,AUTO,1,Alloy,89849,AMERICAN,CHRYSLER,12075,14451,16932,18439,15107,17357,19483,21861,0,0,19638,33619,FL,0,983
